true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename,gt_filename,image_id
225657,1245,2743,32499,0.8907007975443308,0.9421911692227408,14.0,9.219544410705566,ISIC_0000499_mask.png,ISIC_0000499.png,ISIC_0000499
176011,518,6085,79530,0.9233394866079203,0.9601419749732891,17.804492950439453,13.0,ISIC_0010171_mask.png,ISIC_0010171.png,ISIC_0010171
244008,1030,728,16378,0.903065725628584,0.9490641478820189,12.0,8.0,ISIC_0010059_mask.png,ISIC_0010059.png,ISIC_0010059
242984,2988,136,16036,0.8369519832985386,0.9112399136265484,19.0,9.989952087402344,ISIC_0001299_mask.png,ISIC_0001299.png,ISIC_0001299
176049,384,4175,81536,0.9470468668331494,0.9728033597604262,13.03840446472168,9.219544410705566,ISIC_0010597_mask.png,ISIC_0010597.png,ISIC_0010597
215441,3981,1887,40835,0.8743549664903754,0.9329662546551212,21.954498291015625,17.804492950439453,ISIC_0011344_mask.png,ISIC_0011344.png,ISIC_0011344
150678,2410,3002,106054,0.9514470780327634,0.9751195292386907,26.07680892944336,11.401754379272461,ISIC_0000354_mask.png,ISIC_0000354.png,ISIC_0000354
44393,13221,1207,203323,0.93374083241868,0.9657352389366239,95.0,57.80476379394531,ISIC_0011112_mask.png,ISIC_0011112.png,ISIC_0011112
117775,4015,4689,135665,0.9397100485561305,0.9689180599498632,77.0,23.701250076293945,ISIC_0010038_mask.png,ISIC_0010038.png,ISIC_0010038
75880,707,46856,138701,0.7446473822101963,0.8536365454741279,109.83624267578125,76.64883422851562,ISIC_0010257_mask.png,ISIC_0010257.png,ISIC_0010257
249400,219,1064,11461,0.8993251726302574,0.9469944226399504,12.041594505310059,7.071067810058594,ISIC_0003559_mask.png,ISIC_0003559.png,ISIC_0003559
243436,26,3684,14998,0.8016891169553132,0.8899305761585474,13.601470947265625,11.313708305358887,ISIC_0009298_mask.png,ISIC_0009298.png,ISIC_0009298
250749,2939,83,8373,0.7347959631417288,0.8471266693646297,19.416488647460938,15.13768482208252,ISIC_0010456_mask.png,ISIC_0010456.png,ISIC_0010456
166346,1404,4438,89956,0.939017516023299,0.9685498024268656,20.02498435974121,12.61932373046875,ISIC_0000320_mask.png,ISIC_0000320.png,ISIC_0000320
256182,610,170,5182,0.8691714189869172,0.9300071787508973,8.0,5.0,ISIC_0010592_mask.png,ISIC_0010592.png,ISIC_0010592
202190,9327,1266,49361,0.8233145411482137,0.9030965558249097,60.87692642211914,42.44997024536133,ISIC_0000107_mask.png,ISIC_0000107.png,ISIC_0000107
224687,1040,689,35728,0.9538404036628667,0.9763749402199904,8.0,5.0,ISIC_0010553_mask.png,ISIC_0010553.png,ISIC_0010553
21595,2449,10901,227199,0.9445019517852912,0.9714589907386029,243.0,166.349853515625,ISIC_0010588_mask.png,ISIC_0010588.png,ISIC_0010588
187949,14873,195,59127,0.7969135386481568,0.8869803933334334,41.59326934814453,35.608985900878906,ISIC_0000174_mask.png,ISIC_0000174.png,ISIC_0000174
171563,6065,2981,81535,0.9001335820977909,0.9474424225522322,49.648765563964844,20.0,ISIC_0000343_mask.png,ISIC_0000343.png,ISIC_0000343
66862,8012,562,186708,0.9560942636802163,0.9775543862404775,19.0,12.0,ISIC_0000233_mask.png,ISIC_0000233.png,ISIC_0000233
161367,1921,2329,96527,0.9578276789346776,0.9784596358918217,9.848857879638672,6.4031243324279785,ISIC_0000213_mask.png,ISIC_0000213.png,ISIC_0000213
160061,14517,3859,83707,0.8199896162926247,0.9010926314656332,41.400482177734375,33.541019439697266,ISIC_0011081_mask.png,ISIC_0011081.png,ISIC_0011081
236588,439,900,24217,0.9476052590389732,0.9730978643039399,6.082762718200684,4.123105525970459,ISIC_0000253_mask.png,ISIC_0000253.png,ISIC_0000253
50795,83,16437,194829,0.921835447529915,0.9593281763167872,73.06161499023438,22.81008529663086,ISIC_0000202_mask.png,ISIC_0000202.png,ISIC_0000202
244509,42,1747,15846,0.8985540119081372,0.9465667094770168,12.206555366516113,7.838716983795166,ISIC_0010089_mask.png,ISIC_0010089.png,ISIC_0010089
110844,848,22180,128272,0.8477990746860542,0.9176312363183724,102.07839965820312,56.46744918823242,ISIC_0000433_mask.png,ISIC_0000433.png,ISIC_0000433
82510,24,21762,157848,0.8787200641303985,0.9354454459793411,35.80502700805664,26.34756088256836,ISIC_0000212_mask.png,ISIC_0000212.png,ISIC_0000212
251601,134,1439,8970,0.8508014796547472,0.9193870752831446,9.486832618713379,7.0,ISIC_0004346_mask.png,ISIC_0004346.png,ISIC_0004346
169588,1623,1980,88953,0.9610722157396603,0.9801497446407617,12.206555366516113,6.037239074707031,ISIC_0010599_mask.png,ISIC_0010599.png,ISIC_0010599
214039,834,4297,42974,0.8933374909053113,0.9436642914393,22.135944366455078,19.313207626342773,ISIC_0000113_mask.png,ISIC_0000113.png,ISIC_0000113
196323,4232,845,60744,0.9228665623433251,0.9598862244696401,23.194826126098633,14.866068840026855,ISIC_0000020_mask.png,ISIC_0000020.png,ISIC_0000020
178183,2370,713,80878,0.9632805707411775,0.9812969018254175,18.601076126098633,8.9442720413208,ISIC_0010449_mask.png,ISIC_0010449.png,ISIC_0010449
178151,4440,681,78872,0.939030633505173,0.9685567801553434,17.0,8.602325439453125,ISIC_0011333_mask.png,ISIC_0011333.png,ISIC_0011333
75661,604,7699,178180,0.9554758342583506,0.9772310324875296,22.472204208374023,14.866068840026855,ISIC_0000195_mask.png,ISIC_0000195.png,ISIC_0000195
254140,159,804,7041,0.8796851574212894,0.9359920239282153,9.219544410705566,7.0,ISIC_0001190_mask.png,ISIC_0001190.png,ISIC_0001190
182087,4915,889,74253,0.9275016550707621,0.9623874019830212,21.63330841064453,12.806248664855957,ISIC_0000378_mask.png,ISIC_0000378.png,ISIC_0000378
144032,249,24192,93671,0.7930692901652668,0.8845941364509899,115.24755859375,63.81217575073242,ISIC_0000476_mask.png,ISIC_0000476.png,ISIC_0000476
168096,803,14624,78621,0.835966740387887,0.9106556475105548,52.32590103149414,34.0,ISIC_0011175_mask.png,ISIC_0011175.png,ISIC_0011175
128052,16940,5548,111604,0.8322942457417296,0.9084722584006252,71.0,55.578773498535156,ISIC_0010100_mask.png,ISIC_0010100.png,ISIC_0010100
182838,21150,202,57954,0.7307643810052202,0.844441206469474,94.5409927368164,84.00267791748047,ISIC_0010379_mask.png,ISIC_0010379.png,ISIC_0010379
195861,3885,1931,60467,0.9122550276843233,0.9541143984220908,46.69047164916992,18.020816802978516,ISIC_0000527_mask.png,ISIC_0000527.png,ISIC_0000527
230351,215,2529,29049,0.9136916931399993,0.9548995759508234,11.704699516296387,8.9442720413208,ISIC_0011150_mask.png,ISIC_0011150.png,ISIC_0011150
149856,38,12880,99370,0.8849565403248789,0.93896757977492,26.870058059692383,19.209373474121094,ISIC_0000534_mask.png,ISIC_0000534.png,ISIC_0000534
184878,9469,82,67715,0.876388062019517,0.9341224022458116,31.764760971069336,20.0,ISIC_0000456_mask.png,ISIC_0000456.png,ISIC_0000456
217796,0,9004,35344,0.796969423649319,0.8870150077799528,23.34523582458496,19.79899024963379,ISIC_0009927_mask.png,ISIC_0009927.png,ISIC_0009927
230300,38,3204,28602,0.89819118201231,0.946365350891705,15.0,10.0,ISIC_0000072_mask.png,ISIC_0000072.png,ISIC_0000072
151708,13939,52,96445,0.873311239088703,0.932371749943204,45.27692413330078,27.116300582885742,ISIC_0000550_mask.png,ISIC_0000550.png,ISIC_0000550
173261,5526,2259,81098,0.9124129473577625,0.9542007636147569,32.557640075683594,19.0,ISIC_0000407_mask.png,ISIC_0000407.png,ISIC_0000407
203621,134,3931,54458,0.9305401295217265,0.9640204990219594,17.262676239013672,12.0,ISIC_0011101_mask.png,ISIC_0011101.png,ISIC_0011101
146552,11945,104,103543,0.8957626825385839,0.9450156296347001,41.146080017089844,22.825424194335938,ISIC_0000056_mask.png,ISIC_0000056.png,ISIC_0000056
225865,343,4247,31689,0.8734805259240883,0.932468220338983,15.29705810546875,12.083045959472656,ISIC_0010216_mask.png,ISIC_0010216.png,ISIC_0010216
193909,6552,1451,60232,0.8827141496299553,0.9377038461239073,26.019224166870117,17.024974822998047,ISIC_0010565_mask.png,ISIC_0010565.png,ISIC_0010565
172454,6768,1130,81792,0.9119411305608206,0.9539426878622829,35.12833786010742,15.177201271057129,ISIC_0000196_mask.png,ISIC_0000196.png,ISIC_0000196
181132,7613,1908,71491,0.882474201352886,0.937568441276565,41.773197174072266,22.039716720581055,ISIC_0000169_mask.png,ISIC_0000169.png,ISIC_0000169
215054,13725,50,33315,0.7074750477808452,0.8286798084696225,42.0,32.0,ISIC_0011305_mask.png,ISIC_0011305.png,ISIC_0011305
129613,4248,3331,124952,0.9428133795112087,0.9705650470128125,17.0,12.041594505310059,ISIC_0010460_mask.png,ISIC_0010460.png,ISIC_0010460
245022,4444,66,12612,0.7365961920336409,0.8483217865070289,19.416488647460938,15.29705810546875,ISIC_0010437_mask.png,ISIC_0010437.png,ISIC_0010437
208022,215,3210,50697,0.9367170466723329,0.9673246262605062,9.433980941772461,7.6157732009887695,ISIC_0000271_mask.png,ISIC_0000271.png,ISIC_0000271
