true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename
230565,0,11067,20512,0.6495455840906932,0.7875448733946363,44.04542922973633,25.253700256347656,ISIC_0009943.png
201367,3321,953,56503,0.9296773450482912,0.9635572987721691,14.866068840026855,10.440306663513184,ISIC_0000418.png
145298,4717,974,111155,0.951294866747685,0.975039583159723,22.472204208374023,9.899495124816895,ISIC_0010374.png
218349,964,2163,40668,0.928599155154698,0.9629778719676071,12.0,9.0,ISIC_0001128.png
225992,910,3000,32242,0.8918455410489047,0.9428312425066526,14.0,10.0,ISIC_0000499.png
151457,21,18463,92203,0.8330065861392937,0.908896446350239,39.824615478515625,35.735137939453125,ISIC_0011155.png
149876,18,14700,97550,0.8689029821498557,0.9298534920740833,27.018512725830078,20.596113204956055,ISIC_0000534.png
253212,156,852,7924,0.8871473354231975,0.9401993355481728,13.0,7.042638778686523,ISIC_0008659.png
189609,0,50471,22064,0.3041841869442338,0.46647427562659227,193.14501953125,167.08595275878906,ISIC_0010348.png
249569,246,1439,10890,0.8660039761431412,0.9281909226507564,12.083045959472656,9.0,ISIC_0011227.png
214544,12284,0,35316,0.7419327731092437,0.8518500651261518,59.0,30.4138126373291,ISIC_0010261.png
177927,48,4713,79456,0.9434674709381716,0.9709115125891259,13.0,10.0,ISIC_0010463.png
101363,45,9213,151523,0.9424185693583197,0.9703558071622521,16.970561981201172,11.0,ISIC_0000052.png
207977,260,3031,50876,0.9392434508095335,0.9686699732490504,9.219544410705566,7.211102485656738,ISIC_0000271.png
244541,10,2067,15526,0.8820087485087769,0.9373056838419511,12.206555366516113,8.0,ISIC_0010089.png
82510,24,21458,158152,0.8804123940902057,0.9364035217563783,35.80502700805664,25.753591537475586,ISIC_0000212.png
168976,2823,1328,89017,0.9554460759058905,0.9772154677937261,15.0,8.062257766723633,ISIC_0011325.png
166288,3929,1872,90055,0.9394821398764814,0.9687968974401729,19.416488647460938,9.848857879638672,ISIC_0000172.png
224869,858,891,35526,0.9530784708249497,0.9759756047307042,8.0,5.0,ISIC_0010553.png
139478,7048,426,115192,0.9390703210343534,0.968577891010603,24.331050872802734,12.529964447021484,ISIC_0011129.png
168676,802,6124,86542,0.9258997731844053,0.9615243597577913,18.788293838500977,13.928388595581055,ISIC_0011090.png
197112,597,1256,63179,0.9715063353426006,0.9855472619354033,8.246211051940918,4.0,ISIC_0000013.png
239147,598,549,21850,0.9501239292081576,0.9744241532321003,6.4031243324279785,4.0,ISIC_0011171.png
113098,5955,3110,139981,0.9391798505159481,0.9686361481799278,41.62931823730469,13.0,ISIC_0000539.png
158939,634,3301,99270,0.9618720023254688,0.9805655019138165,12.369317054748535,7.0,ISIC_0000036.png
1027,0,44637,216480,0.8290536426199749,0.9065383576530003,458.0,388.19970703125,ISIC_0011374.png
236964,107,5388,19685,0.7817712470214456,0.8775214532486348,28.284271240234375,24.351591110229492,ISIC_0009959.png
137997,16896,83,107168,0.8632347136861946,0.9265979292307027,71.17584228515625,52.47189712524414,ISIC_0000043.png
247511,91,3225,11317,0.7733889154650447,0.8722157996146436,16.124515533447266,13.021120071411133,ISIC_0002673.png
219377,326,1247,41194,0.9632193046040172,0.9812651111825729,7.071067810058594,4.0,ISIC_0000227.png
146905,11592,119,103528,0.8983764177058114,0.946468160188694,41.43669891357422,22.825424194335938,ISIC_0000056.png
15857,15409,3391,227487,0.9236662917652982,0.9603186329346903,189.2643585205078,106.50421905517578,ISIC_0011300.png
155546,12176,6,94416,0.885720182367399,0.9393972559125235,31.14482307434082,17.770702362060547,ISIC_0010552.png
184782,9565,82,67715,0.8753005351464543,0.9335042770390896,31.016124725341797,19.84943389892578,ISIC_0000456.png
136239,209,31777,93919,0.745951312497518,0.8544926850571366,93.471923828125,88.05680084228516,ISIC_0000371.png
243422,92,3154,15476,0.8266210874906527,0.9050821685478683,21.470911026000977,17.0,ISIC_0010234.png
203919,9744,337,48144,0.8268613138686132,0.9052261467156785,28.42534065246582,19.879596710205078,ISIC_0010591.png
221065,6797,455,33827,0.8234621095937097,0.9031853256080955,22.360679626464844,17.029386520385742,ISIC_0011162.png
253095,451,761,7837,0.8660625483478838,0.9282245647281772,10.0,7.464720726013184,ISIC_0003056.png
245950,2423,2706,11065,0.6832777571940225,0.8118419604534283,51.62363815307617,41.94934844970703,ISIC_0011367.png
243884,1343,580,16337,0.8946878422782037,0.9444171459953176,21.095022201538086,8.0,ISIC_0001427.png
179904,1672,2032,78536,0.9549610894941635,0.9769617355824253,25.179357528686523,9.703994750976562,ISIC_0009931.png
104059,144,6309,151632,0.9591801878736123,0.9791648504925464,17.0,8.9442720413208,ISIC_0000111.png
214597,426,5723,41398,0.8706753317769785,0.9308673899600877,26.925823211669922,21.02379608154297,ISIC_0011204.png
246869,4,2715,12556,0.8219967266775777,0.9023031870935287,16.401220321655273,10.770329475402832,ISIC_0009885.png
225444,1444,1020,34236,0.9328610354223433,0.9652644637419646,12.0,7.071067810058594,ISIC_0011321.png
110828,864,21780,128672,0.8503529038568294,0.9191251053616584,100.6578369140625,58.224544525146484,ISIC_0000433.png
169813,41,13019,79271,0.8585523821901636,0.9238936609130429,42.01190185546875,31.11590576171875,ISIC_0010326.png
